,A,B,C,D,E,F,G,H,I,J,K,L
7.0,308,343,333,320,265,384,384,265,320,333,343,308
14.0,308,343,333,320,265,384,384,265,320,333,343,308
20.0,308,343,333,320,265,384,384,265,320,333,343,308
