,A,B,C,D,E,F,FG,G
14.0,8487775,11021452,21318558,15491226,17582840,9553971,21926970,8638014
28.0,9210560,12069804,24288945,16666047,18349732,10301075,23922990,9103171
42.0,9857910,12045912,25803375,16815168,18488024,10990127,25743510,9804949
