,A,B,C,D,E,F,G,H,J,K
7.0,4125996,4033498,4022592,4110120,3042359,3350412,4174680,3997410,3350412,2974900
18.0,4266528,4203402,4193070,4284168,3177696,3497832,4334280,4166700,3497832,3098505
28.0,4467624,4364122,4355512,4449984,3305491,3639168,4472220,4328010,3350880,3211216
