,B,C,D,E,F,G,H,I,J
2.0,9466,9473,9260,9487,9487,9487,9684,9487,9166
4.0,9562,9569,9354,9583,9583,9583,9583,9583,9262
7.0,9707,9714,9632,9729,9729,9729,9729,9729,9410
