,3A,3B,3C,3E,3F,3G,3H,A,B,C,D,E,F,G,H
5.0,14507,14317,14390,14161,14150,13904,13895,13879,14031,13965,13879,13992,14019,13949,13879
12.0,14854,12045,14756,14582,14665,14619,14658,14742,14675,14675,14742,14754,14619,14472,14697
20.0,15121,12377,15210,15030,15088,15203,15136,14544,15256,15256,15181,15011,14697,15203,15181
