,A,A & B,B,C,D,E,E & F,EF,F,FG,G,H
8.0,15936700,65252520,10986675,11258978,18379648,9187500,37489551,37489551,8374464,24445096,9646908,17362182
20.0,21669496,70533432,34065900,16829820,10550367,10044300,41798273,41798273,11954865,27246224,11057112,18572768
31.0,20016360,75504096,36538092,28721376,30184452,21794236,44007678,44007678,11838908,28585072,10563444,19275332
