,A,B,C,D,E,EF,F,G,H,I,J,K,L,M,N,O
6.0,372,370,390,372,372,762,390,390,390,595,372,370,390,372,415,595
12.0,372,370,390,372,372,762,390,390,390,595,372,370,390,372,415,595
19.0,372,370,390,372,372,762,390,390,390,595,372,370,390,372,415,595
