,1,11,12,13,14,15,16,17,18,2,20,21,22,23,24,25,26,27,29,3,4,5,6,7,8,9
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,,,,,,,,,,,,,,,,,,,,,,,,,,
