,A,AB,B,C,D,E,F,G,H
6.0,16508,,14639,16400,16508,16516,16542,16508,16508
9.0,16926,,15014,16816,16926,16928,16963,16926,16926
12.0,17344,,15387,17233,17344,17333,17691,17344,17344
