,A,B,C,D,E,F,G,H,I,J,K,L
3.0,6050480,4078080,5883530,5820990,3900730,5693790,6096060,3839970,5867136,5413575,4075200,5883530
6.0,6131570,4134400,5973630,5910030,3960560,5971510,6190400,3898250,5956896,5496700,4138880,5973630
10.0,6251880,4213760,6098180,6032460,4040230,6098180,6316010,3974820,6080976,5610700,4258560,6098180
