,A,B,C,D,E,F,G,H
8.0,11420,10396,10195,9943,10099,10586,11072,10996
16.0,11752,11194,10583,10727,10387,11898,11308,11266
25.0,12264,11682,11016,11216,11005,11956,11721,11637
