,C,D,E,F,G,H,J,K
7.0,7107958,5805980,9196928,7297920,7254000,6924780,6841200,7070067
10.0,7092646,5921148,9093760,7246512,7222475,6952122,6944700,7010880
13.0,7161231,6028752,9182784,7357728,7254000,6897920,6924000,7203483
