,A,B,C,D,E,F,G,H,I,J,K
2.0,3634524,3237750,3237750,3237750,3639780,2717300,2717300,3142314,2717300,2717300,3137316
4.0,3671316,3269625,3269625,3269625,3676572,2744560,2744560,3173373,2744560,2744560,3168375
7.0,3725628,3318000,3318000,3318000,3731322,2785450,2785450,3220497,2785450,2785450,3215499
