,A,AB,B,BG,BK,C,CK,D,E,F,FJ,G,H,J,JK,K
29.0,20294464,22897371,13420730,21045474,25371259,8752798,21930708,8586864,8170750,8108541,20346660,6373504,6443511,8384286,20887740,11582610
72.0,11498630,27081873,32218216,23679162,,10783618,25541472,10069488,10174150,17572373,,7518896,7591878,9872472,,15092974
115.0,,,,,,,,,,,,,,,,
