,A,B,C,D,E,F,G,H,I
3.0,4607115,4682360,4556971,4682360,4529280,4592610,3939325,3751515,3735810
6.0,4709125,4786895,4658608,4786895,4630080,4695075,4028575,3836970,3820830
10.0,4833860,4913650,4782340,4913650,4752960,4819815,4136525,3940245,3923790
