,1,2,3,4,5,6,A5
5.0,4639800,4520670,4329090,4726700,4336000,4386000,4386000
12.0,4725600,4680835,4505735,4967050,4526500,4571000,4525500
18.0,4869700,4802890,4748300,5032500,4642500,4690000,4624000
