,A,A & B,AB,B,C,C & D,CD,D,E,E & F,F,G,GH,H
9.0,21178,21431,26093,18966,16947,25608,25539,18758,16490,21483,15642,18799,21489,18204
22.0,20838,22933,28219,20738,18091,27950,28219,19735,19431,22988,17680,16668,22994,18058
34.0,22322,24752,30522,24952,26372,30076,30522,22300,20394,24808,17927,18048,24815,21195
