,A,A & B,B,C,C & D,D,E,EF,F,G,GH,H
5.0,12787,11250,14599,14911,11413,14545,12671,11426,13471,13320,11263,12520
14.0,13504,11883,15201,15746,12054,15232,13347,12068,14563,14346,11896,13274
23.0,14269,12570,16076,16766,12750,15674,14070,12764,15747,14928,12585,14014
