,1A,1B,1C,1D,1E,1F,1H,A,B,C,D,E,F,G,H
5.0,14828,13002,14693,14422,14179,14908,13668,14712,14707,14777,14819,14735,14742,13462,14712
12.0,14143,13369,15039,13841,14520,15190,14171,14101,15055,15076,14101,14012,14081,13816,15192
20.0,14985,15670,15057,14068,14925,15554,14602,14656,15060,15615,14647,14557,15389,14373,14598
