,A,B,BC,C,D,E,F,G,H
4.0,10681,10780,11919,10884,10732,10380,10405,10894,10861
6.0,10998,11098,12276,11150,11048,10682,10682,11162,11180
9.0,11484,11586,12812,11639,11534,11149,11149,11652,11671
