,A,ABCDEF,AF,B,C,CD,CF,D,E,EF,F
10.0,20789,,28389,21782,23934,,26590,19214,21281,25469,22028
28.0,22981,,30807,22256,22831,,28855,26064,23047,26954,23878
56.0,25264,,,26525,25373,,,,26017,,
