,1,2,3,4,5,6,7
5.0,4848800,4029965,4287075,4560990,4122405,4041900,3531000
9.0,4969200,4128480,4416100,4647570,4223205,4140600,3703665
14.0,5121600,3847662,3776500,3874170,4059568,4269300,3815630
