,A1,A2,A3,A4,A5,B1,B2,C1,C2,C3,C4,C5,D1,D2
4.0,14359975,13234500,16011805,9631150,9197430,11016425,7718590,11221700,9856375,10798510,9725430,10072880,11016425,7789980
8.0,14808080,13632300,16512510,9936450,9478725,11365795,7955750,11586365,10168850,11140580,9929920,10392560,11365795,8030165
13.0,11530400,14143320,17247435,8372595,9831930,11804520,8249175,12041190,10560350,11570340,8314800,10792900,11804520,8329035
