,A,B,C,D,E,F,G
9.0,6947356,5880680,5636100,7753039,9256395,5942592,9282900
20.0,7502300,6507792,5943300,8091223,10051350,6617360,10189850
29.0,8107008,6586912,5872800,8798762,10760425,7128504,10729400
