,EATON HSE,EATON HSE 2,EATON HSE 3,EATON HSE 7,EATON HSE 8,FULHAM HSE 2,FULHAM HSE 3,FULHAM HSE 6,FULHAM HSE 7,FULHAM HSE 8,FULHAM HSE 9,VICTORIA HSE 2,VICTORIA HSE 3,VICTORIA HSE 6,VICTORIA HSE 7,VICTORIA HSE 8,WINDSOR HSE 3,WINDSOR HSE 6,WINDSOR HSE 7,WINDSOR HSE 8
2.0,,,,19908738,18669879,,,,,,,9749076,8968568,11413059,8968568,8968568,6281016,9113888,9113888,9113888
6.0,,,,20287323,19025910,,,,,,,9930899,9135434,11628834,9135434,9135434,6398082,9283712,9283712,9283712
8.0,,,,20475810,19203120,,,,,,,10021285,9218867,11736242,9218867,9218867,6456942,9368624,9368624,12166816
