,1,10,11,12,13,14,15,16,17,18,2,3,4,5,6,7,8,9,B12,B18
10.0,12074,11870,11870,10667,11619,11695,9817,11958,12220,11928,11841,12220,11928,12220,11812,11928,11870,11870,10667,11928
12.0,12232,12025,12025,10806,11771,11847,9945,12113,12379,12084,11995,12379,11348,12379,11966,12084,12025,12025,10806,12084
14.0,12389,12180,12180,10945,11922,12000,10074,12269,12539,12239,12150,12539,12239,12539,12120,12239,12180,12180,10945,12239
