,1,2,3,4,5,6,7,8,D1,D3,D6,D7,D8
7.0,335,300,275,290,355,370,370,355,335,275,370,370,355
12.0,335,300,275,290,355,370,370,355,335,275,370,370,355
17.0,335,300,275,290,355,370,370,355,335,275,370,370,355
