,A,B,C,D,E,F,G,J,K
4.0,6920,6727,7544,6516,7737,7006,6517,6516,6432
10.0,7088,6890,7705,6677,7905,7175,6679,6677,6588
17.0,7299,7092,7900,6879,8090,7386,6880,6879,6784
