,A,B,C,D,E,G,H,I,J,K,L,M,O,P
3.0,460,410,410,397,397,410,404,415,410,410,378,378,410,415
6.0,460,410,410,397,397,410,404,415,410,410,378,378,410,415
9.0,460,410,410,397,397,410,404,415,410,410,378,378,410,415
