,A,B,C,CD,D,E,F,G,H
18.0,8767521,9222255,10529323,19505214,6213024,7711728,7540302,6604362,8023000
36.0,9894717,9576630,11119927,18983690,7038306,8075500,7914500,7306623,8521500
52.0,10206567,10178217,11077563,21622688,7696512,8281000,8435500,7901967,8578500
