,1,2,3,4,5,6,7,8,B1,B2,B6,B7
4.0,320,370,370,315,315,370,370,315,320,370,370,370
7.0,320,370,370,315,315,370,370,315,320,370,370,370
10.0,315,370,370,315,315,370,370,315,320,370,370,370
