,A,B,C,D,E,F,G,H,I,J,K,L,M,N
7.0,264,313,375,375,375,375,348,361,361,358,393,372,335,358
10.0,264,313,375,375,375,375,348,361,361,382,335,372,281,358
14.0,264,313,375,375,327,327,348,361,361,297,271,372,513,358
