,A,B,C,D,E,G,H,J,K
4.0,5628592,6510456,6256917,6197992,4735397,6049619,5304156,6389208,4907570
10.0,5824232,6710214,6637521,6601536,4965120,6349420,5460488,6580896,5147336
18.0,6080024,6701940,6683028,6615552,5111660,5928285,5702004,6674976,5299098
