,11,12A,17,18,20,4,5,6,7
5.0,5031430,4975740,5048200,5076925,4795480,4400075,4940990,4191750,4184160
6.0,4752790,4735500,4765260,5321570,4526416,4154065,4630570,3957840,3951975
8.0,4195510,4131960,4895550,4528747,3987884,3661315,4071980,3489330,3486915
