,1,10A,2,3,4,4A,5A,7,8,A,B,C,whole floor
3.0,508,508,592,374,592,620,590,520,689,520,,173,520
8.0,508,508,592,374,592,620,590,520,689,520,,173,620
13.0,508,508,592,374,592,620,590,520,689,520,,173,590
