,1,2,3,4,A,B,C,D
5.0,8877,8877,8873,9115,8877,8878,8932,9115
11.0,9139,9139,9135,9385,9139,9139,9196,9385
18.0,9445,9445,9442,9699,9445,9445,9504,9699
