,A,AB,B,C,D,E,F,G,H
8.0,9744111,28199718,9899190,9288720,8355630,8635976,8378994,8437040,8348556
20.0,10441899,27916731,10405710,10406970,9192798,8988904,8874012,8745276,8697792
33.0,10239336,29549934,10312470,9841860,9752622,9513454,8910858,8810500,9301746
