,A,B,C,D,E,F,G,GH,H
12.0,17054,17028,16866,15344,16982,16311,17292,15985,16837
29.0,16733,18063,15146,16082,16012,16557,18021,16730,17098
48.0,17501,18939,17118,16957,20220,16527,17834,15758,17305
