,A,B,C,D,E,F,G,H,J,K,L
8.0,8677353,5502171,5446728,4659247,6625080,5396490,4190982,5233048,5258592,5883592,4369134
18.0,9531369,5754175,5969124,4902936,7637784,5710969,4469372,5374656,5513536,6163260,4652844
26.0,10662690,6051861,6056064,5278812,8195264,5961186,4618364,5689368,6179664,7240510,4875566
