,A,B,D,E,F,G,H
14.0,36622165,8316618,5911675,6262218,7200900,7237884,7815699
29.0,39608827,9189894,6171550,6428826,7320600,7419840,8002206
43.0,42539508,9627996,6480375,7134507,7715400,7743042,8367400
