,subjFloor,floorLv,unitNo,price,npsf,nfa
5.0/F低層A,5.0,低層,A,4421130,11949,370
12.0/F中層A,12.0,中層,A,4242050,11465,370
18.0/F高層A,18.0,高層,A,4377840,11832,370
5.0/F低層B,5.0,低層,B,4192256,11776,356
12.0/F中層B,12.0,中層,B,4298700,12075,356
18.0/F高層B,18.0,高層,B,4386276,12321,356
5.0/F低層C,5.0,低層,C,4223140,12421,340
12.0/F中層C,12.0,中層,C,4329900,12735,340
18.0/F高層C,18.0,高層,C,4453320,13098,340
5.0/F低層D,5.0,低層,D,3925300,11545,340
12.0/F中層D,12.0,中層,D,4009620,11793,340
18.0/F高層D,18.0,高層,D,4095300,12045,340
5.0/F低層E,5.0,低層,E,4641172,13037,356
12.0/F中層E,12.0,中層,E,4699200,13200,356
18.0/F高層E,18.0,高層,E,4286240,12040,356
5.0/F低層F,5.0,低層,F,4345280,11744,370
12.0/F中層F,12.0,中層,F,4393010,11873,370
18.0/F高層F,18.0,高層,F,4492170,12141,370
