,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
6.0/F低層A,6.0,低層,A,3360656,7852,428,200,3,NSS
11.0/F中層A,11.0,中層,A,3421860,7995,428,213,3,NSS
17.0/F高層A,17.0,高層,A,3488628,8151,428,215,3,NSS
6.0/F低層B,6.0,低層,B,3728277,7719,483,211,3,NSS
11.0/F中層B,11.0,中層,B,3794931,7857,483,224,3,NSS
17.0/F高層B,17.0,高層,B,3868347,8009,483,226,3,NSS
6.0/F低層C,6.0,低層,C,4430217,7599,583,315,4,NSS
11.0/F中層C,11.0,中層,C,4510671,7737,583,337,4,NSS
17.0/F高層C,17.0,高層,C,4605700,7900,583,345,4,NSS
6.0/F低層E,6.0,低層,E,3764019,7793,483,243,3,NSS
11.0/F中層E,11.0,中層,E,3831639,7933,483,258,3,NSS
17.0/F高層E,17.0,高層,E,3907470,8090,483,261,3,NSS
6.0/F低層F,6.0,低層,F,3325988,7771,428,243,3,NSS
11.0/F中層F,11.0,中層,F,3386336,7912,428,258,3,NSS
17.0/F高層F,17.0,高層,F,3451820,8065,428,263,3,NSS
6.0/F低層G,6.0,低層,G,4804992,8256,582,228,3,NSS
11.0/F中層G,11.0,中層,G,4866684,8362,582,229,3,NSS
17.0/F高層G,17.0,高層,G,4556478,7829,582,219,3,NSS
6.0/F低層J,6.0,低層,J,4395237,7539,583,204,3,NSS
11.0/F中層J,11.0,中層,J,4474525,7675,583,217,3,NSS
17.0/F高層J,17.0,高層,J,4563141,7827,583,219,3,NSS
6.0/F低層K,6.0,低層,K,4388862,7541,582,204,3,NSS
11.0/F中層K,11.0,中層,K,4467432,7676,582,217,3,NSS
17.0/F高層K,17.0,高層,K,4556478,7829,582,219,3,NSS
