,A,B,C,D,E,EF,F,G,H
6.0,8088345,7872711,7746075,8213282,12007968,35118765,11786304,11603776,11603776
16.0,8546145,8127540,8164389,8353422,12344269,36954225,12364800,12029184,12029184
25.0,8868785,8245353,8474751,8675744,12906019,38669400,12815232,12718080,12718080
