,2,AW02,AW03,AW07,AW7,BW02,BW06,CW01,CW03,CW06
8.0,381,381,381,490,490,381,381,381,381,381
18.0,381,381,381,490,490,381,381,381,381,381
28.0,381,381,381,490,490,381,381,381,381,381
