,1,2,3,4,5,6,7,8,9
2.0,7773,7773,7669,8411,8375,7773,7773,7833,8465
3.0,7803,7803,7714,8439,7803,7803,7803,7854,7888
4.0,7832,7832,7742,8469,7832,7832,7832,7882,7910
