,1,10,11,12,13,14,15,16,17,18,19,2,20,20-26,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,37,38,39,4,40,41,42,43,44,5,6,7,8,9
4.0,11306,11357,11791,11910,11590,11590,11601,11590,11493,11508,11393,11465,12954,,11736,11808,12007,12379,11725,11725,11238,11050,11244,11220,11720,11798,11227,11050,11313,11050,11234,11545,11114,11310,11172,11536,11089,11219,11711,11704,11383,10981,11344,11590,11705
10.0,11655,11661,11992,11861,11566,11566,11944,11566,11525,11484,11901,11931,13335,,12402,12479,12396,12944,12396,11736,11588,12270,12798,11555,12318,12282,13241,13120,11987,12270,12270,12196,12799,12145,11506,11902,11280,11715,12534,12210,11735,11311,11688,11566,12369
15.0,11837,11946,12361,12172,11914,11914,12147,11914,12002,11830,11922,12165,13665,,12595,12593,12601,13361,12601,11891,11940,14615,14663,11725,13964,13676,13790,13509,11824,12459,11085,12129,13054,12031,11845,12069,12129,11894,12854,12595,11915,11635,11884,11914,12562
