,LA,LB,LC,LD,RA,RB,RC,RD
19.0,11386600,10061280,8995566,10010342,11945888,9570545,8515261,12113780
40.0,11496122,10376928,9356343,11971181,8664040,9315450,8611284,9170820
60.0,13434415,8652765,9630090,8690825,12635148,10424750,8795267,11946200
