,1,4,7,8,A,A10,A11,A12,A2,B12,B2,B3
3.0,29689,29689,29689,29689,30277,29689,29689,29689,29689,29689,29689,28792
6.0,30324,30324,30324,30324,30924,30324,30324,30324,30324,30324,30324,29508
10.0,31170,31170,31170,31170,31787,31170,31170,31170,31170,31170,31170,30343
