,A,B,C,D,E,F,G,H,I,J,K
5.0,7164100,6527810,6634340,6508380,6335115,4498600,3170124,5852595,4214200,3988100,4100460
10.0,7658550,6719430,6827300,6696650,6515310,4633060,3266080,6030515,4105900,4105900,4221750
16.0,7925925,5733060,7066490,7052420,6741630,4794495,3381108,6252220,4247260,4247260,4366830
