,1,10,12,14,16,17,19,20,22,23,24,3,4,5,6,8,9
8.0,2415540,2727994,3233259,2727994,2545280,2968685,2716476,3019086,2416565,2682808,1988820,2281162,2970186,2991213,2727994,2555950,2544795
18.0,2509647,2837415,3364947,2837415,2653920,3088480,2827226,3138402,2514025,2819252,2509647,2380170,3090480,3111996,2837415,2662650,2650525
28.0,2600325,2943735,3492387,2943735,2891085,3204880,2930002,3255273,2696984,2867539,2600325,2937532,3207351,3229356,2943735,2921640,2888660
