,A,AB,B,C,D,E,F,G,H
7.0,5840616,,5961600,5258080,5338476,5130058,4823910,5929822,5667222
18.0,6249221,,6448000,5793357,5586153,5026092,4794790,5393431,5935949
29.0,6619800,,6375680,5506502,5524326,4922584,5135585,5742670,5805054
