,1,10,10 & 11,11,12,2,3,4,5,6,7,8,9
4.0,3178140,3024775,4954300,3024775,3821175,3024775,2728305,2728305,3024775,3178140,3821175,3024775,3024775
8.0,3259560,3102125,5081050,3102125,3918925,3102125,2798130,2798130,3102125,3259560,3918925,3102125,3102125
11.0,3320625,3159975,5175950,3159975,3992450,3159975,2850570,2850570,3159975,3320625,3992450,3159975,3159975
