,A,B,C,D,E,EF,F,G,H
7.0,10051282,11110708,10991147,11418295,8908272,23990368,8685365,8751119,8907600
18.0,10839646,11711728,11338477,12000464,9469476,25401710,8960315,9114712,9562200
29.0,11886490,12277874,11565350,12546009,10543536,27473472,9378850,9688934,10719600
