,1,10,11,1112,12,14,2,3,4,5,6,7,8,9,B409,B414
4.0,10009,11186,10199,,11148,11290,10206,9670,10775,11339,10522,11121,11325,11399,11368,11290
8.0,10503,11510,10491,,11461,11614,10498,10651,11708,11666,11719,11645,11649,11724,11694,11614
13.0,11059,11966,11487,,11853,12010,11190,11078,11699,12087,11552,12212,12046,12125,12093,12010
