,A,B,C,D,E,F,G
6.0,17018204,14037185,13462127,13782648,14796222,11774575,13354972
15.0,18099660,15282170,13389600,14603160,14383530,12513150,14146174
24.0,19306304,15538515,12228371,15551544,15951066,13505925,14639664
