,10,11,11 & 12,12,7,8,9
5.0,3499320,3543295,7626570,4633460,4070220,4081305,3714720
8.0,4255680,3603930,7771470,4687775,4147110,4163045,3777910
12.0,3638580,3684330,7965360,4804925,4250400,4263545,3862045
