,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9,A19,A20
4.0,10883,11753,,12094,11595,11854,11854,12013,11713,11268,11609,11185,11935,11864,12043,11879,11899,11901,11758,11901,11957,11901,12428,11932,11939,12096
10.0,11239,12101,12145,12464,11920,12235,11999,11851,11855,11698,11735,11423,12302,12245,12138,12258,12057,12283,12132,12283,11991,12283,12732,12301,11972,12454
15.0,11546,12418,12345,12764,12307,12213,12295,11916,12159,12008,11996,11707,12612,12268,12651,12237,12370,12269,12098,12269,12468,12269,13041,12363,12448,12830
