,A1,A2,A3,A5,A6,B1,B2,B3
2.0,12118,13104,12616,13332,11988,12914,12125,12903
6.0,12277,13381,13038,13535,12000,13260,12724,13210
9.0,12301,13773,12901,13992,12066,13843,13219,13263
