,1,2,3,4,5,5 & 6,6,7,8
9.0,17543,15988,16477,16774,15289,18225,17976,17839,17654
16.0,18199,16713,17399,17123,18110,17863,18868,17786,18204
24.0,19318,18007,18504,17091,18959,18962,19924,18951,18904
