,A,B,C,D,E,F,G,H,J,K,L,M
6.0,5346068,6144448,5346068,4999786,5730970,5353920,5353920,6144448,5389065,4991400,6144448,5322850
16.0,5192928,6232798,5411276,5065181,5746873,5419260,5419260,6232798,5468760,5056650,6232798,5393986
25.0,5470062,5907081,5470062,5098555,5866440,5478165,5478165,5907081,5537070,5089950,5907081,5451290
