,subjFloor,floorLv,unitNo,price,npsf,nfa
2.0/F低層D2,2.0,低層,D2,1618488,9144,177
4.0/F中層D2,4.0,中層,D2,1640259,9267,177
6.0/F高層D2,6.0,高層,D2,1661853,9389,177
2.0/F低層D3,2.0,低層,D3,5067600,8446,600
4.0/F中層D3,4.0,中層,D3,5132400,8554,600
6.0/F高層D3,6.0,高層,D3,5198400,8664,600
2.0/F低層E2,2.0,低層,E2,3653964,8826,414
4.0/F中層E2,4.0,中層,E2,3702402,8943,414
6.0/F高層E2,6.0,高層,E2,3750840,9060,414
2.0/F低層E3,2.0,低層,E3,1337385,9485,141
4.0/F中層E3,4.0,中層,E3,1355433,9613,141
6.0/F高層E3,6.0,高層,E3,1373481,9741,141
2.0/F低層E5,2.0,低層,E5,1153500,7690,150
4.0/F中層E5,4.0,中層,E5,1169250,7795,150
6.0/F高層E5,6.0,高層,E5,1184850,7899,150
2.0/F低層whole floor,2.0,低層,whole floor,9070717,9619,943
4.0/F中層whole floor,4.0,中層,whole floor,5076000,8460,600
6.0/F高層whole floor,6.0,高層,whole floor,9286664,9848,943
