,1,12,13,14,15,18,19,20,22,23,24,3,4,5,6,7,8
9.0,7441,7253,7285,7441,7430,7441,7506,7253,7386,7441,7441,7441,7253,7251,7441,7441,7441
18.0,7710,7523,7553,7710,7701,7710,7782,7523,7656,7710,7710,7710,7523,7524,7710,7710,7710
28.0,7991,7812,7842,7991,7987,7991,8065,7812,7937,7991,7991,7991,7812,7820,7991,7991,7991
