,A,B,C,CD,D,E,F,G,H
7.0,11738,11426,11090,10529,11497,10883,11559,10841,11696
19.0,12402,11940,11540,11049,12014,12799,12157,11310,11948
31.0,12368,12842,11596,11564,12595,11829,12651,12100,11926
