,A,B,B1,B3,D,D7
2.0,9869040,6898920,6898920,6898920,6126302,6126302
6.0,10113840,7063868,7063868,7063868,6272877,6272877
9.0,10298160,7187880,7187880,7187880,6383208,6383208
